rank,organization,country,segment,route_type,target_role,public_email,contact_channel,fit_offer,fit_score,access_score,timing_score,risk_score,priority_score,source_url,verified_at_utc,next_action,notes
11,"Ministerio de Salud de la Nación",Argentina,Salud pública,compra_publica,"Dirección de Estadísticas e Información en Salud",mesadeentrada@ufisalud.gov.ar,https://www.argentina.gob.ar/node/259068,"Auditoría de datos de salud mental",5,3,5,2,16,https://www.argentina.gob.ar/noticias/el-gobierno-fortalece-la-estrategia-federal-para-el-abordaje-de-la-salud-mental-0,2026-09-22,"Presentar nota institucional y pedir derivación a área técnica","El gobierno informó avances 2026 en vigilancia y construcción del dato"
12,UNICEF Argentina,Argentina,Infancia y salud,licitacion,"Oportunidades de contratación",buenosaires@unicef.org,https://www.unicef.org/argentina/trabaja-con-unicef,"Datos públicos y adolescencia",4,4,4,1,15,https://www.unicef.org/argentina/trabaja-con-unicef,2026-09-22,"Monitorear LRFPS y registrarse como proveedor","Usar oportunidades formales, no contacto de prensa"
13,"World Bank Group",Global,Desarrollo,registro_proveedor,"Operational Consulting Opportunities",corporateprocurement@worldbank.org,https://www.worldbank.org/en/about/corporate-procurement/business-opportunities/operational-consulting-opportunities,"Consultoría de datos y gobernanza",4,3,4,1,14,https://www.worldbank.org/en/about/corporate-procurement/vendors/potential-vendor-registry,2026-09-22,"Crear perfil en Vendor Management Portal","Ciclo de venta largo pero procesos claros"
14,"Beccar Varela",Argentina,Legal y compliance,subcontratacion,"White Collar and Corporate Crime",manuel@beccarvarela.com,https://beccarvarela.com/en/equipo/manuel-beccar-varela/,"Evidence Sprint y Data Room",5,4,3,2,15,https://beccarvarela.com/en/expertise/areas/white-collar-and-corporate-crime/,2026-09-22,"Enviar ficha con énfasis en preservación y revisión legal","Verificar correo nuevamente antes de enviar"
15,"PwC Argentina",Argentina,Forensic y compliance,subcontratacion,"Forensic and Compliance",,https://www.pwc.com.ar/es/servicios/consultoria/regulaciones-riesgos-seguridad-fraude/forensic-services-pwc.html,"OSINT documental y data room",4,3,3,2,12,https://www.pwc.com.ar/es/servicios/consultoria/regulaciones-riesgos-seguridad-fraude/forensic-services-pwc/investigaciones-corporativas.html,2026-09-22,"Contactar por formulario con capability statement","Competidor parcial y potencial subcontratista"
16,Chequeado,Argentina,Periodismo de datos,alianza_editorial,"Coordinación de Datos o Dirección de Medios",,https://chequeado.com/contacto/,"Auditoría de datos y verificación",4,4,3,1,14,https://chequeado.com/medios/,2026-09-22,"Enviar caso de salud sanitizado y propuesta de colaboración","Mejor como aliado de publicación que comprador directo"
17,"LA NACION",Argentina,Periodismo,alianza_editorial,"Prosecretaría de Investigación",halconada@lanacion.com.ar,https://www.lanacion.com.ar/sociedad/equipo-editorial-la-nacion-nid2390490/,"Investigación documental y datos",4,5,3,2,14,https://www.lanacion.com.ar/sociedad/equipo-editorial-la-nacion-nid2390490/,2026-09-22,"Pitch de una página con hallazgo y método","No enviar corpus completo en primer contacto"
18,ICIJ,Global,Periodismo de investigación,alianza_editorial,"Story tip-offs",investigations@icij.org,https://www.icij.org/leak/,"Investigación con potencial transfronterizo",4,5,3,2,14,https://www.icij.org/inside-icij/2019/03/pitch-and-go-global-what-makes-a-great-icij-investigation/,2026-09-22,"Usar solo para historias cross-border con interés público claro","Canales seguros disponibles para material sensible"
19,OCCRP,Global,Periodismo de investigación,alianza_editorial,"Latin America and OCCRP ID",,https://www.occrp.org/en/regions/latin-america,"Investigación financiera y societaria",4,3,3,3,11,https://www.occrp.org/en/regions/latin-america,2026-09-22,"Identificar editor regional y enviar pitch sin datos sensibles","Alta exigencia de interés público y riesgo"
20,CONNECTAS,Regional,Periodismo colaborativo,alianza_editorial,"Comunidad y editor de investigaciones",,https://www.connectas.org/contacto/,"Investigación regional y publicación",4,3,3,2,12,https://www.connectas.org/,2026-09-22,"Verificar convocatoria activa antes de contactar","Ruta editorial, no asumir compra directa"
21,OjoPúblico,Perú,Periodismo de investigación,alianza_editorial,"Unidad de investigación y datos",,https://ojo-publico.com/contacto,"Investigación regional de salud o industria",4,3,3,2,12,https://ojo-publico.com/,2026-09-22,"Proponer colaboración solo con ángulo regional","Requiere verificación de canal actual"
22,Forbidden Stories,Global,Protección periodística,alianza_editorial,"SafeBox y red de investigación",,https://forbiddenstories.org/safebox/,"Continuidad de investigaciones de alto riesgo",3,3,2,4,7,https://forbiddenstories.org/,2026-09-22,"Usar únicamente si existe riesgo real para periodistas","No es un canal comercial ordinario"
23,CIPPEC,Argentina,Políticas públicas,alianza_y_compra,"Dirección de Monitoreo y Evaluación",,https://www.cippec.org/contacto/,"Auditoría de evidencia y política pública",4,3,3,1,13,https://www.cippec.org/,2026-09-22,"Identificar programa temático y enviar ficha específica","Evitar propuesta genérica"
24,"Fundación Huésped",Argentina,Salud pública,alianza_y_compra,"Investigación y políticas públicas",,https://www.huesped.org.ar/contacto/,"Auditoría de datos de salud",4,3,3,1,13,https://www.huesped.org.ar/,2026-09-22,"Proponer piloto de calidad de datos no identificables","Encaje sanitario, validar presupuesto disponible"
25,"Fundación Bunge y Born",Argentina,Salud y ciencia,grant_y_alianza,"Programas de Salud",,https://www.fundacionbyb.org/contacto/,"Investigación aplicada y datos",3,3,3,1,11,https://www.fundacionbyb.org/,2026-09-22,"Revisar convocatorias y programas vigentes","No enviar propuesta fuera de foco"
26,CAF,Regional,Desarrollo,registro_proveedor,"Procurement",,https://www.caf.com/es/trabaja-con-nosotros/proveedores/,"Consultoría de datos y gobernanza",4,2,3,1,12,https://www.caf.com/,2026-09-22,"Confirmar portal de proveedores y oportunidades","Ciclo institucional largo"
27,OEA,Regional,Gobernanza,licitacion,"Procurement Services",,https://www.oas.org/en/procurement/,"Investigación documental y transparencia",3,3,3,1,11,https://www.oas.org/en/procurement/,2026-09-22,"Monitorear solicitudes de propuestas","Responder solo a términos de referencia compatibles"
28,"Deloitte Argentina",Argentina,Forensic,subcontratacion,"Financial Crime and Forensic",,https://www2.deloitte.com/ar/es/pages/risk/solutions/forensic.html,"Capacidad local OSINT",4,2,3,2,11,https://www2.deloitte.com/ar/es.html,2026-09-22,"Identificar socio responsable y verificar servicio actual","Competidor parcial"
29,"EY Argentina",Argentina,Forensic,subcontratacion,"Forensic and Integrity Services",,https://www.ey.com/en_ar/forensic-integrity-services,"Capacidad local OSINT",4,2,3,2,11,https://www.ey.com/en_ar,2026-09-22,"Usar formulario profesional con caso sintético","Competidor parcial"
30,"KPMG Argentina",Argentina,Forensic,subcontratacion,"Forensic Services",,https://kpmg.com/ar/es/home/services/advisory/risk-consulting/forensic.html,"Capacidad local OSINT",4,2,3,2,11,https://kpmg.com/ar/es/home.html,2026-09-22,"Identificar líder actual antes de enviar","Competidor parcial"
